N,hilos,prog,mean_us,sigma_us,n
64,1,mmClasicaFork,660,236,30
64,1,mmClasicaOpenMP,475,228,30
64,1,mmClasicaPosix,991,1195,30
64,1,mmFilasOpenMP,286,191,30
64,2,mmClasicaFork,798,520,30
64,2,mmClasicaOpenMP,385,391,30
64,2,mmClasicaPosix,978,342,30
64,2,mmFilasOpenMP,435,682,30
64,4,mmClasicaFork,1081,815,30
64,4,mmClasicaOpenMP,1757,2656,30
64,4,mmClasicaPosix,1314,600,30
64,4,mmFilasOpenMP,1341,1718,30
64,8,mmClasicaFork,1384,654,30
64,8,mmClasicaOpenMP,635,364,30
64,8,mmClasicaPosix,1185,551,30
64,8,mmFilasOpenMP,954,757,30
128,1,mmClasicaFork,119548,25063,30
128,1,mmClasicaOpenMP,3240,1415,30
128,1,mmClasicaPosix,4278,1424,30
128,1,mmFilasOpenMP,2947,1036,30
128,2,mmClasicaFork,134062,40957,30
128,2,mmClasicaOpenMP,2190,962,30
128,2,mmClasicaPosix,3841,1347,30
128,2,mmFilasOpenMP,1507,569,30
128,4,mmClasicaFork,174139,54114,30
128,4,mmClasicaOpenMP,3355,3046,30
128,4,mmClasicaPosix,3830,764,30
128,4,mmFilasOpenMP,1788,1801,30
128,8,mmClasicaFork,389010,15400,30
128,8,mmClasicaOpenMP,1580,605,30
128,8,mmClasicaPosix,3641,559,30
128,8,mmFilasOpenMP,1364,451,30
256,1,mmClasicaFork,72387,71395,30
256,1,mmClasicaOpenMP,24375,1421,30
256,1,mmClasicaPosix,31376,3276,30
256,1,mmFilasOpenMP,22912,1945,30
256,2,mmClasicaFork,27106,29536,30
256,2,mmClasicaOpenMP,15889,4010,30
256,2,mmClasicaPosix,22375,2632,30
256,2,mmFilasOpenMP,14719,3410,30
256,4,mmClasicaFork,22251,23020,30
256,4,mmClasicaOpenMP,10845,4493,30
256,4,mmClasicaPosix,17178,3516,30
256,4,mmFilasOpenMP,8808,3682,30
256,8,mmClasicaFork,18557,19612,30
256,8,mmClasicaOpenMP,8946,2082,30
256,8,mmClasicaPosix,15748,2690,30
256,8,mmFilasOpenMP,8963,2190,30
512,1,mmClasicaFork,439940,28023,30
512,1,mmClasicaOpenMP,447099,26220,30
512,1,mmClasicaPosix,457017,19483,30
512,1,mmFilasOpenMP,196346,1922,30
512,2,mmClasicaFork,153257,7381,30
512,2,mmClasicaOpenMP,156742,6329,30
512,2,mmClasicaPosix,182980,10467,30
512,2,mmFilasOpenMP,104119,5895,30
512,4,mmClasicaFork,94324,16886,30
512,4,mmClasicaOpenMP,95072,17890,30
512,4,mmClasicaPosix,126266,15774,30
512,4,mmFilasOpenMP,64989,13441,30
512,8,mmClasicaFork,93676,14476,30
512,8,mmClasicaOpenMP,92977,12686,30
512,8,mmClasicaPosix,115116,15065,30
512,8,mmFilasOpenMP,63499,10919,30
